data,preco_r$_sc50kg,preco_us$
2024-08-08,132.52,23.78
2024-08-09,130.76,23.72
2024-08-12,130.22,23.66
2024-08-13,130.17,23.85
2024-08-14,129.78,23.71
2024-08-15,129.33,23.59
2024-08-16,131.19,23.99
2024-08-19,128.73,23.79
2024-08-20,129.92,23.76
2024-08-21,129.46,23.65
2024-08-22,128.4,22.97
2024-08-23,129.71,23.68
2024-08-26,131.72,24.0
2024-08-27,130.66,23.75
2024-08-28,130.73,23.56
2024-08-29,129.43,23.03
2024-08-30,133.44,23.62
2024-09-02,135.71,24.18
2024-09-03,135.97,24.08
2024-09-04,136.94,24.29
2024-09-05,136.67,24.5
2024-09-06,137.06,24.5
2024-09-09,138.89,24.87
2024-09-10,138.9,24.55
2024-09-11,139.98,24.77
2024-09-12,140.25,24.96
2024-09-13,140.46,25.25
2024-09-16,142.4,25.82
2024-09-17,141.68,25.83
2024-09-18,141.83,26.05
2024-09-19,141.44,26.06
2024-09-20,143.54,26.01
2024-09-23,144.3,26.07
2024-09-24,143.56,26.29
2024-09-25,144.46,26.37
2024-09-26,146.57,26.91
2024-09-27,146.79,27.0
2024-09-30,146.32,26.82
2024-10-01,145.33,26.63
2024-10-02,145.1,26.64
2024-10-03,145.79,26.64
2024-10-04,146.97,26.92
2024-10-07,146.86,26.78
2024-10-08,146.82,26.54
2024-10-09,146.2,26.19
2024-10-10,148.44,26.58
2024-10-11,150.0,26.68
2024-10-14,150.35,26.93
2024-10-15,151.64,26.81
2024-10-16,152.0,26.83
2024-10-17,154.02,27.18
2024-10-18,155.4,27.31
2024-10-21,155.48,27.27
2024-10-22,156.3,27.41
2024-10-23,157.9,27.75
2024-10-24,158.26,27.88
2024-10-25,158.26,27.72
2024-10-28,157.58,27.61
2024-10-29,160.03,27.76
2024-10-30,162.28,28.15
2024-10-31,163.79,28.33
2024-11-01,164.66,28.05
2024-11-04,165.78,28.71
2024-11-05,165.87,28.84
2024-11-06,165.83,29.19
2024-11-07,166.09,29.22
2024-11-08,166.46,28.93
2024-11-11,166.76,28.9
2024-11-12,167.53,29.04
2024-11-13,167.19,28.84
2024-11-14,167.72,29.02
2024-11-18,168.16,29.28
2024-11-19,167.83,29.07
2024-11-21,167.97,28.87
2024-11-22,167.17,28.77
2024-11-25,166.4,28.64
2024-11-26,166.57,28.68
2024-11-27,165.53,27.98
2024-11-28,164.59,27.5
2024-11-29,164.55,27.4
2024-12-02,163.6,26.96
2024-12-03,162.32,26.8
2024-12-04,164.52,27.24
2024-12-05,164.19,27.36
2024-12-06,163.41,26.85
2024-12-09,163.1,26.8
2024-12-10,161.02,26.58
2024-12-11,159.79,26.57
2024-12-12,161.33,26.74
2024-12-13,161.29,26.69
2024-12-16,160.77,26.42
2024-12-17,160.43,26.37
2024-12-18,161.15,25.82
2024-12-19,160.99,26.32
2024-12-20,160.99,26.32
2024-12-23,160.59,25.94
2024-12-26,159.57,25.83
2024-12-27,160.77,25.96
2024-12-30,161.27,26.1
2025-01-02,159.96,25.95
2025-01-03,160.07,25.89
2025-01-06,160.97,26.33
2025-01-07,158.99,26.0
2025-01-08,158.53,25.95
2025-01-09,158.18,26.13
2025-01-10,159.78,26.2
2025-01-13,158.36,25.96
2025-01-14,156.95,25.95
2025-01-15,153.37,25.48
2025-01-16,153.41,25.32
2025-01-17,152.8,25.21
2025-01-20,154.73,25.6
2025-01-21,153.57,25.46
2025-01-22,153.2,25.8
2025-01-23,154.79,26.16
2025-01-24,153.6,25.98
2025-01-27,150.72,25.5
2025-01-28,149.63,25.49
2025-01-29,151.79,25.82
2025-01-30,150.21,25.6
