data,estado,produto,preco_medio,preco_min,preco_max,n_postos
2024-08-17,AM,gasolina_c,6.91,6.85,7.68,54
2024-08-17,AM,hidratado,4.88,4.59,4.89,37
2024-08-17,AP,gasolina_c,5.92,5.81,6.15,23
2024-08-17,AP,hidratado,4.82,4.69,5.24,3
2024-08-17,BA,gasolina_c,6.39,5.51,6.79,203
2024-08-17,BA,hidratado,4.64,4.23,5.39,196
2024-08-17,CE,gasolina_c,6.22,5.78,6.79,110
2024-08-17,CE,hidratado,5.03,4.39,5.65,99
2024-08-17,DF,gasolina_c,6.06,5.65,6.19,49
2024-08-17,DF,hidratado,4.18,3.97,4.25,27
2024-08-17,ES,gasolina_c,6.22,5.89,6.89,85
2024-08-17,ES,hidratado,4.39,3.99,4.99,59
2024-08-17,GO,gasolina_c,5.94,5.49,6.47,177
2024-08-17,GO,hidratado,3.88,3.59,4.94,169
2024-08-17,MA,gasolina_c,6.02,5.51,6.88,102
2024-08-17,MA,hidratado,4.59,4.28,5.31,60
2024-08-17,MG,gasolina_c,6.19,5.44,6.79,458
2024-08-17,MG,hidratado,4.27,3.65,4.99,440
2024-08-17,MS,gasolina_c,5.86,5.55,7.09,63
2024-08-17,MS,hidratado,3.87,3.62,4.98,44
2024-08-17,MT,gasolina_c,6.0,5.63,6.69,60
2024-08-17,MT,hidratado,3.8,3.49,4.29,60
2024-08-17,PA,gasolina_c,6.14,5.63,7.35,93
